"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jul 29 06:24:04 UTC 2024","Mon Jul 29 06:24:06 UTC 2024","1766","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"failed","Mon Jul 29 06:24:06 UTC 2024","Mon Jul 29 06:26:00 UTC 2024","113667","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jul 29 07:22:22 UTC 2024","Mon Jul 29 07:22:25 UTC 2024","2476","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Jul 29 07:06:42 UTC 2024","Mon Jul 29 07:06:45 UTC 2024","2557","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"failed","Mon Jul 29 07:57:59 UTC 2024","Mon Jul 29 07:58:10 UTC 2024","10700","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Jul 29 07:15:22 UTC 2024","Mon Jul 29 07:19:37 UTC 2024","255717","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Jul 29 05:58:23 UTC 2024","Mon Jul 29 05:58:39 UTC 2024","15368","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Mon Jul 29 06:24:06 UTC 2024","Mon Jul 29 06:24:06 UTC 2024","216","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"broken","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"broken","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jul 29 07:22:12 UTC 2024","Mon Jul 29 07:22:22 UTC 2024","9744","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Jul 29 07:06:50 UTC 2024","Mon Jul 29 07:06:54 UTC 2024","4003","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"failed","Mon Jul 29 07:07:18 UTC 2024","Mon Jul 29 07:09:58 UTC 2024","160119","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Jul 29 07:06:54 UTC 2024","Mon Jul 29 07:07:04 UTC 2024","10184","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Jul 29 06:28:07 UTC 2024","Mon Jul 29 06:28:09 UTC 2024","1399","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Jul 29 07:57:54 UTC 2024","Mon Jul 29 07:57:59 UTC 2024","4769","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Jul 29 07:07:06 UTC 2024","Mon Jul 29 07:07:18 UTC 2024","12247","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"failed","Mon Jul 29 06:50:25 UTC 2024","Mon Jul 29 06:50:44 UTC 2024","18783","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Jul 29 06:28:02 UTC 2024","Mon Jul 29 06:28:07 UTC 2024","4963","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"broken","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Jul 29 07:06:48 UTC 2024","Mon Jul 29 07:06:50 UTC 2024","2196","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jul 29 07:06:32 UTC 2024","Mon Jul 29 07:06:42 UTC 2024","9956","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jul 29 07:06:45 UTC 2024","Mon Jul 29 07:06:48 UTC 2024","2747","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"failed","Mon Jul 29 05:53:48 UTC 2024","Mon Jul 29 05:56:37 UTC 2024","169039","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Jul 29 07:15:08 UTC 2024","Mon Jul 29 07:15:22 UTC 2024","13265","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Mon Jul 29 08:54:29 UTC 2024","Mon Jul 29 08:54:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"failed","Mon Jul 29 07:09:58 UTC 2024","Mon Jul 29 07:12:30 UTC 2024","151939","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Mon Jul 29 06:23:52 UTC 2024","Mon Jul 29 06:24:04 UTC 2024","12315","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Jul 29 07:21:58 UTC 2024","Mon Jul 29 07:22:12 UTC 2024","14160","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Jul 29 06:28:01 UTC 2024","Mon Jul 29 06:28:02 UTC 2024","1239","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Jul 29 07:22:25 UTC 2024","Mon Jul 29 07:22:29 UTC 2024","4290","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Mon Jul 29 06:15:52 UTC 2024","Mon Jul 29 06:15:52 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Jul 29 06:27:46 UTC 2024","Mon Jul 29 06:28:01 UTC 2024","14907","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Mon Jul 29 06:46:27 UTC 2024","Mon Jul 29 06:46:27 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Jul 29 07:07:04 UTC 2024","Mon Jul 29 07:07:06 UTC 2024","1645","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
